Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
LFLO.JK,Imago Mulia Persada Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
LIVE.JK,Homeco Victoria Makmur Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
LMPI.JK,Langgeng Makmur Industri Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
LPIN.JK,Multi Prima Sejahtera Tbk,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
LPPF.JK,Matahari Department Store Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
LUCY.JK,Lima Dua Lima Tiga Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
MAPA.JK,Map Aktif Adiperkasa Tbk.,Stock,Indonesia,Consumer Cyclical,Specialty Retail,5. Non Primer
MAPB.JK,MAP Boga Adiperkasa Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
MAPI.JK,Mitra Adiperkasa Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
MGLV.JK,Panca Anugrah Wisesa Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
MINA.JK,Sanurhasta Mitra Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
MLPL.JK,Multipolar Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
MPMX.JK,Mitra Pinasthika Mustika Tbk.,Stock,Indonesia,Consumer Cyclical,Auto & Truck Dealerships,5. Non Primer
MPPA.JK,Matahari Putra Prima Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
PTMR.JK,Master Print Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
MSJA.JK,Multi Spunindo Jaya Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
MYTX.JK,Asia Pacific Investama Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
NATO.JK,Surya Permata Andalan Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
OLIV.JK,Oscar Mitra Sukses Sejahtera T,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
PACK.JK,Solusi Kemasan Digital Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
PANR.JK,Panorama Sentrawisata Tbk.,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
PART.JK,Cipta Perdana Lancar Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
PBID.JK,Panca Budi Idaman Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
PBRX.JK,Pan Brothers Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
PDES.JK,Destinasi Tirta Nusantara Tbk,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
PDPP.JK,Primadaya Plastisindo Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
PGJO.JK,Tourindo Guide Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
PGLI.JK,Pembangunan Graha Lestari Inda,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
PICO.JK,Pelangi Indah Canindo Tbk,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
PJAA.JK,Pembangunan Jaya Ancol Tbk.,Stock,Indonesia,Consumer Cyclical,Leisure,5. Non Primer
PLAN.JK,Planet Properindo Jaya Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
PMJS.JK,Putra Mandiri Jembar Tbk.,Stock,Indonesia,Consumer Cyclical,Auto & Truck Dealerships,5. Non Primer
PNSE.JK,Pudjiadi & Sons Tbk.,Stock,Indonesia,Consumer Cyclical,Resorts & Casinos,5. Non Primer
POLU.JK,Golden Flower Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
PPRI.JK,Paperocks Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
PSKT.JK,Red Planet Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
PZZA.JK,Sarimelati Kencana Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
RAFI.JK,Sari Kreasi Boga Tbk.,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
RALS.JK,Ramayana Lestari Sentosa Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
RICY.JK,Ricky Putra Globalindo Tbk,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
SBAT.JK,Sejahtera Bintang Abadi Textil,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
SHID.JK,Hotel Sahid Jaya International,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
SMKL.JK,Satyamitra Kemas Lestari Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
