Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
MBTO.JK,Martina Berto Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
MGRO.JK,Mahkota Group Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
MICE.JK,Multi Indocitra Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
MIDI.JK,Midi Utama Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Grocery Stores,4. Konsumen Primer
MKTR.JK,Menthobi Karyatama Raya Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
MLBI.JK,Multi Bintang Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Brewers,4. Konsumen Primer
MRAT.JK,Mustika Ratu Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
MYOR.JK,Mayora Indah Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
NASI.JK,Wahana Inti Makmur Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
NAYZ.JK,Hassana Boga Sejahtera Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
NEST.JK,Esta Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
NSSS.JK,Nusantara Sawit Sejahtera Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
OILS.JK,Indo Oil Perkasa Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
PCAR.JK,Prima Cakrawala Abadi Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
PGUN.JK,Pradiksi Gunatama Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
PMMP.JK,Panca Mitra Multiperdana Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
PNGO.JK,Pinago Utama Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
PTPS.JK,Pulau Subur Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
PSDN.JK,Prasidha Aneka Niaga Tbk,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
PSGO.JK,Palma Serasih Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
RANC.JK,Supra Boga Lestari Tbk.,Stock,Indonesia,Consumer Defensive,Grocery Stores,4. Konsumen Primer
ROTI.JK,Nippon Indosari Corpindo Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
SGRO.JK,Sampoerna Agro Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
SIMP.JK,Salim Ivomas Pratama Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
SIPD.JK,Sreeya Sewu Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
SKBM.JK,Sekar Bumi Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
SKLT.JK,Sekar Laut Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
SMAR.JK,Smart Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
SSMS.JK,Sawit Sumbermas Sarana Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
STAA.JK,Sumber Tani Agung Resources Tb,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
STRK.JK,Lovina Beach Brewery Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Brewers,4. Konsumen Primer
STTP.JK,Siantar Top Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
