Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
PNIN.JK,Paninvest Tbk.,Stock,Indonesia,Financial Services,Insurance - Life,7. Finance
PNLF.JK,Panin Financial Tbk.,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
POLA.JK,Pool Advista Finance Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
RELI.JK,Reliance Sekuritas Indonesia T,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
SDRA.JK,Bank Woori Saudara Indonesia 1,Stock,Indonesia,Financial Services,Banks - Regional,7. Finance
SFAN.JK,Surya Fajar Capital Tbk.,Stock,Indonesia,Financial Services,Asset Management,7. Finance
SMMA.JK,Sinarmas Multiartha Tbk.,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
SRTG.JK,Saratoga Investama Sedaya Tbk.,Stock,Indonesia,Financial Services,Asset Management,7. Finance
STAR.JK,Buana Artha Anugerah Tbk.,Stock,Indonesia,Financial Services,Asset Management,7. Finance
TIFA.JK,KDB Tifa Finance Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
TRIM.JK,Trimegah Sekuritas Indonesia T,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
TRUS.JK,Trust Finance Indonesia Tbk,Stock,Indonesia,Financial Services,Credit Services,7. Finance
TUGU.JK,Asuransi Tugu Pratama Indonesi,Stock,Indonesia,Financial Services,Insurance - Diversified,7. Finance
VICO.JK,Victoria Investama Tbk.,Stock,Indonesia,Financial Services,Asset Management,7. Finance
VINS.JK,Victoria Insurance Tbk.,Stock,Indonesia,Financial Services,Insurance - Property & Casualty,7. Finance
VRNA.JK,Mizuho Leasing Indonesia Tbk.,Stock,Indonesia,Financial Services,Credit Services,7. Finance
WOMF.JK,Wahana Ottomitra Multiartha Tb,Stock,Indonesia,Financial Services,Credit Services,7. Finance
YULE.JK,Yulie Sekuritas Indonesia Tbk.,Stock,Indonesia,Financial Services,Capital Markets,7. Finance
